,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2019 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 1,641,547 "," 1,378,494 "," 190,307 "," 5,598,284 "," 1,737,469 "," 1,484,012 "," 199,034 "," 5,652,925 ",,,,,,,,," 3,379,016 "," 2,862,506 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-730,Refugee/Asylee Relative Petitions," 3,681 "," 1,640 ", 307 ," 13,119 "," 3,491 "," 1,488 ", 256 ," 14,288 ",,,,,,,,," 7,172 "," 3,128 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-817,Family Unity Applications, 68 , 174 , 33 , 445 , 118 , 106 , 44 , 405 ,,,,,,,,, 186 , 280 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-821,Temporary Protected Status," 1,575 "," 26,789 ", 897 ," 12,287 ", 788 ," 4,677 ", 542 ," 7,679 ",,,,,,,,," 2,363 "," 31,466 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-821D,Deferred Action for Childhood Arrivals," 92,473 "," 89,487 "," 1,421 "," 46,499 "," 102,998 "," 97,325 "," 1,232 "," 50,930 ",,,,,,,,," 195,471 "," 186,812 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-870,Credible Fear Referral," 25,434 ", N/A , N/A ," 3,118 "," 25,177 ", N/A , N/A ," 4,538 ",,,,,,,,," 50,611 ", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-881,NACARA 203 Applications, N/A , N/A , N/A , 371 , N/A , N/A , N/A , -   ,,,,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-899,Reasonable Fear Referral," 3,081 ", N/A , N/A , 279 ," 3,406 ", N/A , N/A , 408 ,,,,,,,,," 6,487 ", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-914,Application for T Nonimmigrant Status, 588 , 186 , 142 ," 3,706 ", 500 , 182 , 143 ," 3,934 ",,,,,,,,," 1,088 ", 368 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-918,Petition for U Nonimmigrant Status ," 13,122 "," 6,728 "," 1,112 "," 233,579 "," 12,366 "," 5,280 "," 1,424 "," 239,926 ",,,,,,,,," 25,488 "," 12,008 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-929,Petition for Qualifying Family Member of a U-1 Nonimmigrant , 291 , 149 , 55 ," 1,347 ", 279 , 211 , 56 ," 1,370 ",,,,,,,,, 570 , 360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
