Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q2),,,,,,,,,
,,,, Employment Based Preference Category ,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total 
"KOREA, NORTH", -   , -   , -   , -   , -   ,1, -   ,2,3
LIBERIA, -   , -   ,1, -   ,2, -   , -   , -   ,3
ICELAND,3, -   , -   , -   , -   , -   , -   , -   ,3
NAMIBIA, -   , -   ,1, -   , -   , -   , -   ,2,3
SIERRA LEONE, -   , -   , -   , -   ,1,2, -   , -   ,3
BHUTAN, -   , -   , -   , -   , -   ,2,1, -   ,3
GRENADA, -   , -   , -   , -   ,1,2, -   , -   ,3
MONTENEGRO, -   , -   , -   , -   , -   , -   ,1,2,3
MOZAMBIQUE, -   , -   ,1,2, -   , -   , -   , -   ,3
CUBA, -   , -   ,1, -   ,2, -   , -   , -   ,3
BENIN, -   , -   , -   , -   ,3, -   , -   , -   ,3
LESOTHO, -   , -   , -   , -   , -   ,1, -   ,1,2
MADAGASCAR, -   , -   , -   ,1,1, -   , -   , -   ,2
ESTONIA,1, -   , -   , -   , -   ,1, -   , -   ,2
SLOVENIA, -   ,1, -   , -   ,1, -   , -   , -   ,2
SURINAME,1, -   , -   , -   ,1, -   , -   , -   ,2
BOTSWANA, -   , -   , -   , -   , -   ,1,1, -   ,2
COMOROS, -   ,1, -   , -   , -   , -   , -   , -   ,1
DJIBOUTI, -   , -   , -   ,1, -   , -   , -   , -   ,1
NORTHERN IRELAND, -   , -   , -   , -   , -   , -   ,1, -   ,1
SAINT KITTS AND NEVIS, -   , -   ,1, -   , -   , -   , -   , -   ,1
SEYCHELLES, -   , -   , -   , -   ,1, -   , -   , -   ,1
SOUTH VIETNAM, -   , -   , -   , -   , -   ,1, -   , -   ,1
BURUNDI, -   , -   ,1, -   , -   , -   , -   , -   ,1
ERITREA, -   , -   , -   ,1, -   , -   , -   , -   ,1
MALTA, -   , -   ,1, -   , -   , -   , -   , -   ,1
BRUNEI, -   , -   , -   , -   ,1, -   , -   , -   ,1
LUXEMBOURG, -   , -   ,1, -   , -   , -   , -   , -   ,1
MAURITIUS, -   , -   , -   , -   , -   , -   ,1, -   ,1
ANTIGUA AND BARBUDA, -   , -   , -   ,1, -   , -   , -   , -   ,1
BURKINA FASO, -   , -   , -   , -   ,1, -   , -   , -   ,1
SAINT VINCENT AND THE GRENADINES, -   , -   , -   , -   , -   ,1, -   , -   ,1
CABO VERDE, -   , -   , -   , -   ,1, -   , -   , -   ,1
Notes:,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
"4) Since petitioners are able to files more than one petition, this report includes all filed petitions; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,
"CLAIM3, queried 05/2023, TRK 11862",,,,,,,,,
