,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4th Quarter,,,,,                Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms ,,Completed,,,Processing ,Forms Received,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,,Approved,Denied,Total,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,," 2,200,024 "," 1,939,071 "," 345,272 "," 2,311,183 "," 8,686,971 ", N/A ," 8,629,636 "," 6,883,950 "," 1,174,863 "," 8,143,283 "," 8,686,971 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawful Permanent Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Family)," 92,386 "," 30,721 "," 8,931 "," 39,652 "," 441,992 ", 13.5 ," 327,184 "," 230,250 "," 40,201 "," 270,451 "," 441,992 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Employment)," 38,177 "," 82,970 "," 5,918 "," 88,888 "," 191,190 ", 12.6 ," 168,464 "," 204,631 "," 12,568 "," 217,199 "," 191,190 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Asylum)," 6,227 "," 16,555 ", 762 ," 17,317 "," 53,488 ", 22.7 ," 22,705 "," 54,831 "," 2,198 "," 57,029 "," 53,488 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Refugee)," 2,771 "," 3,825 ", 161 ," 3,986 "," 20,611 ", 16.5 ," 10,209 "," 13,273 ", 519 ," 13,792 "," 20,611 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Cuban)," 11,768 "," 5,550 ", 895 ," 6,445 "," 20,716 ", 3.5 ," 29,138 "," 16,756 "," 2,972 "," 19,728 "," 20,716 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Other)," 8,365 "," 8,797 ", 962 ," 9,759 "," 47,892 ", 4.5 ," 42,102 "," 27,236 "," 3,299 "," 30,535 "," 47,892 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-300,Application to File Declaration of Intention, -   , -   , -   , -   , -   , N/A , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-336,Req. for a Hearing on a Decision in Natz. Proceedings (Under Sect. 336 of the INA) ," 1,488 ", 817 , 532 ," 1,349 "," 4,577 ", N/A ," 5,840 "," 3,178 "," 2,080 "," 5,258 "," 4,577 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
