Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q3),,,,,,,,,
Beneficiary Country of Birth,First Preference (EB1),,,Second Preference (EB2),,Third Preference (EB3),,,
,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3),Total
SAINT VINCENT AND THE GRENADINES, - , - , - , - ,2,1, - , - ,3
CURAÇAO, - , - ,1, - ,1,1, - , - ,3
TOGO, - , - , - ,1, - , - ,1, - ,2
MONTENEGRO, - , - , - ,1, - , - ,1, - ,2
LESOTHO, - , - , - , - , - ,1,1, - ,2
MADAGASCAR, - , - , - ,1,1, - , - , - ,2
BOTSWANA, - , - , - , - ,2, - , - , - ,2
ESWATINI, - , - , - , - ,1,1, - , - ,2
PAPUA NEW GUINEA,1, - , - , - , - , - ,1, - ,2
BERMUDA, - , - , - ,1,1, - , - , - ,2
ARUBA,1, - , - , - , - , - ,1, - ,2
GERMAN DEMOCRATIC REPUBLIC, - ,1, - , - ,1, - , - , - ,2
GUINEA, - , - ,1, - , - , - ,1, - ,2
SOMALIA, - , - , - , - ,1,1, - , - ,2
LIBERIA, - , - , - , - , - ,1, - , - ,1
ICELAND, - , - , - ,1, - , - , - , - ,1
MOZAMBIQUE, - , - , - , - ,1, - , - , - ,1
SAINT KITTS AND NEVIS, - , - , - , - , - , - ,1, - ,1
LUXEMBOURG, - , - ,1, - , - , - , - , - ,1
CABO VERDE, - , - , - , - ,1, - , - , - ,1
YUGOSLAVIA, - , - , - , - ,1, - , - , - ,1
CHAD, - , - , - , - ,1, - , - , - ,1
LAOS, - , - , - , - ,1, - , - , - ,1
CAYMAN ISLANDS, - , - ,1, - , - , - , - , - ,1
CENTRAL AFRICAN REPUBLIC, - , - , - , - , - , - ,1, - ,1
MALI, - , - , - , - ,1, - , - , - ,1
MONACO, - , - , - , - , - , - , - ,1,1
