,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2018 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-470,Preserve Residence for Naturalization, 27 , 30 , 26 , 45 ,,,,,,,,,,,,, 27 , 30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-565,Replace Naturalization/Citizenship Certificates," 5,054 "," 3,397 ", 492 ," 16,471 ",,,,,,,,,,,,," 5,054 "," 3,397 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-600/600K,Recognition of Citizenship Applications," 12,011 "," 14,697 ", 927 ," 42,402 ",,,,,,,,,,,,," 12,011 "," 14,697 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-644,Posthumous Naturalization, -   , -   , -   , 10 ,,,,,,,,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-648,Disability Exception Applications, 708 ," 1,665 ", 860 ," 1,325 ",,,,,,,,,,,,, 708 ," 1,665 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-90,Renew/Replace Permanent Resident Cards," 166,992 "," 211,343 "," 13,241 "," 564,658 ",,,,,,,,,,,,," 166,992 "," 211,343 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-102,Replace I-94s," 1,385 "," 1,208 ", 349 ," 2,714 ",,,,,,,,,,,,," 1,385 "," 1,208 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-131,Reentry Permit/Refugee Travel Document," 17,519 "," 17,853 "," 1,736 "," 18,551 ",,,,,,,,,,,,," 17,519 "," 17,853 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-131,Advance Parole," 94,785 "," 73,967 "," 13,176 "," 118,791 ",,,,,,,,,,,,," 94,785 "," 73,967 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
