,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2017 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 2,116,432 "," 1,711,800 "," 135,071 "," 4,670,030 "," 2,226,020 "," 1,789,167 "," 147,825 "," 4,975,863 "," 2,261,923 "," 1,619,363 "," 153,393 "," 5,481,899 "," 1,926,347 "," 1,615,515 "," 163,638 "," 5,606,618 "," 8,530,722 "," 6,735,845 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-751,Remove Conditions on Residence," 36,263 "," 23,838 "," 1,448 "," 133,568 "," 44,614 "," 22,604 "," 1,853 "," 153,009 "," 41,000 "," 21,625 "," 1,726 "," 172,431 "," 44,554 "," 20,934 "," 1,355 "," 196,058 "," 166,431 "," 89,001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-800/800A,Convention Country Adoptions," 1,847 "," 1,899 ", 39 , 527 ," 1,989 "," 1,861 ", 47 , 629 ," 1,940 "," 1,896 ", 47 , 639 ," 1,801 "," 1,723 ", 23 , 725 ," 7,577 "," 7,379 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-129,Nonimmigrant Worker Petitions," 91,317 "," 119,143 "," 25,433 "," 119,514 "," 111,249 "," 136,825 "," 25,812 "," 79,516 "," 222,682 "," 140,182 "," 25,559 "," 149,432 "," 101,187 "," 101,905 "," 25,596 "," 148,173 "," 526,435 "," 498,055 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-140,Immigrant Petitions for Workers," 38,209 "," 30,852 "," 2,032 "," 56,105 "," 32,834 "," 32,365 "," 2,568 "," 55,580 "," 36,632 "," 33,426 "," 2,266 "," 58,254 "," 31,891 "," 29,530 "," 2,589 "," 58,492 "," 139,566 "," 126,173 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Employment-Based Adjustments," 43,407 "," 33,259 "," 1,531 "," 138,120 "," 30,897 "," 28,073 "," 1,982 "," 138,424 "," 42,219 "," 29,689 "," 1,705 "," 149,107 "," 23,032 "," 23,459 "," 2,127 "," 149,382 "," 139,555 "," 114,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-526,Petitions by Entrepreneurs," 4,395 "," 3,243 ", 228 ," 23,211 "," 1,731 "," 2,816 ", 199 ," 22,152 "," 4,402 "," 2,386 ", 278 ," 24,621 "," 1,637 "," 2,876 ", 217 ," 24,992 "," 12,165 "," 11,321 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-765,Employment Authorization Documents," 566,405 "," 524,316 "," 25,930 "," 589,619 "," 611,985 "," 597,524 "," 30,563 "," 580,685 "," 636,399 "," 499,851 "," 31,210 "," 695,426 "," 511,642 "," 519,328 "," 34,606 "," 649,428 "," 2,326,431 "," 2,141,019 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-829,Remove Conditions on Entrepreneur, 752 , 95 , 17 ," 7,072 ", 720 , 287 , 24 ," 7,709 ", 660 , 863 , D ," 7,645 ", 493 ," 1,344 ", D ," 6,735 "," 2,625 "," 2,589 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-924/924A,Regional Center Applications, 668 , 65 , 23 ," 2,163 ", 320 , 85 , 28 ," 2,153 ", 98 , 76 , 66 ," 1,984 ", 36 , 83 , 60 ," 1,769 "," 1,122 ", 309 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Asylum Adjustments," 8,933 "," 6,435 ", 316 ," 24,371 "," 7,509 "," 5,618 ", 370 ," 24,760 "," 8,496 "," 7,477 ", 380 ," 24,074 "," 8,297 "," 6,358 ", 396 ," 24,021 "," 33,235 "," 25,888 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Refugee Adjustments," 17,514 "," 13,943 ", 373 ," 37,154 "," 17,913 "," 16,515 ", 365 ," 37,771 "," 18,910 "," 14,572 ", 376 ," 42,587 "," 23,079 "," 18,563 ", 312 ," 46,443 "," 77,416 "," 63,593 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
