,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiscal Year 2021, Quarter 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,4th Quarter,,,,,,Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms Received,Completed,,,Pending,Processing Time,Forms Received,Completed,,,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Approved,Denied,Total 15,,,,Approved,Denied,Total 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL FORMS,," 2,343,364 "," 1,905,587 "," 251,700 "," 2,176,453 "," 8,037,262 ", N/A ," 8,839,722 "," 6,138,783 "," 808,323 "," 7,010,652 "," 8,037,262 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-400,Application for Naturalization (Military)," 2,117 "," 3,549 ", 204 ," 3,753 "," 5,897 ", 11.2 ," 6,504 "," 8,817 ", 484 ," 9,301 "," 5,897 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-400,Application for Naturalization," 191,005 "," 237,421 "," 25,342 "," 262,763 "," 833,738 ",," 782,615 "," 800,571 "," 84,686 "," 885,257 "," 833,738 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-470,Application to Preserve Residence for Naturalization Purposes , -   , -   , -   , -   , D , N/A , -   , -   , -   , -   , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-565,Application for Replacement Naturalization/Citizenship Document," 7,837 "," 4,106 ", 541 ," 4,647 "," 26,100 ", 7.7 ," 29,653 "," 15,508 "," 2,110 "," 17,618 "," 26,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-600 12,Application for Certificate of Citizenship," 16,642 "," 11,704 "," 1,157 "," 12,861 "," 51,266 ", 5.5 ," 59,084 "," 43,222 "," 4,275 "," 47,497 "," 51,266 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-644,Application for Posthumous Citizenship, -   , -   , -   , -   , -   , N/A , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-648,Medical Certification for Disability Exceptions," 13,174 ", N/A , N/A ," 13,170 "," 2,512 ", N/A ," 45,809 ", N/A , N/A ," 45,418 "," 2,512 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-90,Application to Replace Permanent Resident Card," 187,600 "," 115,326 "," 5,131 "," 120,457 "," 624,634 ", 7.6 ," 804,279 "," 493,451 "," 36,139 "," 529,590 "," 624,634 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document," 1,198 ", 656 , 129 , 785 ," 3,814 ", 1.9 ," 4,282 "," 2,436 ", 629 ," 3,065 "," 3,814 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-131,Application for Travel Document," 19,527 "," 12,960 ", 930 ," 13,890 "," 54,047 ", 8.0 ," 72,483 "," 43,038 "," 2,820 "," 45,858 "," 54,047 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-131,Application for Travel Document (Advance Parole)," 140,142 "," 110,770 "," 28,386 "," 139,156 "," 364,644 ", 8.7 ," 595,977 "," 275,028 "," 63,899 "," 338,927 "," 364,644 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-131,Application for Travel Document (Parole-in-Place)," 4,354 "," 1,542 ", 329 ," 1,871 "," 3,521 ", 4.3 ," 14,600 "," 6,312 "," 1,379 "," 7,691 "," 3,521 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-193,Application for Waiver of Passport and/or Visa , D , D , D , 11 , 454 , 62.4 , 30 , 54 , 35 , 89 , 454 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant "," 17,332 "," 6,086 "," 1,391 "," 7,477 "," 63,487 ", 9.1 ," 57,479 "," 29,156 "," 5,572 "," 34,728 "," 63,487 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-539,Application To Extend/Change Nonimmigrant Status," 72,373 "," 89,280 "," 39,248 "," 128,528 "," 263,913 ", 9.6 ," 288,267 "," 229,162 "," 106,360 "," 335,522 "," 263,913 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-824,Application for Action on an Approved Application or Petition ," 2,678 "," 1,850 ", 307 ," 2,157 "," 8,651 ", 3.4 ," 11,253 "," 7,282 "," 1,395 "," 8,677 "," 8,651 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waivers 13,Waivers," 16,472 "," 5,185 "," 2,512 "," 7,697 "," 232,228 ", 6.6 ," 61,209 "," 33,325 "," 12,360 "," 45,685 "," 232,228 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-290B,Notice of Appeal or Motion ," 7,229 "," 3,185 "," 3,271 "," 6,456 "," 18,031 ", 8.3 ," 26,790 "," 11,951 "," 11,855 "," 23,806 "," 18,031 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS-230 (IV) 14,Immigrant Visas," 96,833 ","76,357",,"76,357"," 54,197 ", N/A ," 209,521 ","186,802",," 186,802 "," 54,197 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOIR Adjustment 14,EOIR Adjustment," 6,771 "," 4,440 "," 2,331 "," 6,771 "," 8,787 ", N/A ," 30,772 "," 20,179 "," 10,593 "," 30,772 "," 8,787 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D  Data withheld to protect applicants' privacy. Does not apply to Form N-644, Posthumous Naturalization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A  Not captured/calculated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1  Includes I-600A, Application for Advance Processing of an Orphan Petition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2  Includes I-800A, Application for Determination of Suitability to Adopt a Child from a Convention Country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3  I-765 Includes DACA Employment Authorization Documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4  I-924 approvals include regional center reaffirmations and I-924 denials include regional center terminations. Statutory authorization related to the EB-5 Immigrant Investor Regional Center Program on June 30, 2021. Therefore, USCIS has suspended calculatons of processing times for form I-924.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5  Data are for affirmatively filed I-589 asylum applications and do not include defensive asylum claims before a DOJ EOIR immigration court. For affirmative I-589s, the “denial” column includes cases where USCIS found the applicant not eligible on the merits of the claim and referred the applicant to an immigration judge. Previous reports did not include referrals in the denied counts. Administratively closed cases are not included in approvals or denials but are included in the total number of completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6  Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7  Credible fear cases approved indicate fear established. Credible fear cases denied indicate fear not established.  Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8  NACARA cases approved indicate a grant of suspension of deportation or special rule cancellation of removal and adjustment of status. Denied indicates USCIS found the applicant not eligible on the merits of the claim and referred the applicant to an immigration judge. Administratively closed and dismissed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9  Reasonable fear cases approved indicate fear established. Reasonable fear cases denied indicate fear not established. Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10  Includes I-914A, Application for Family Member of T-1 Recipient.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11  Includes I-918A, Petition for Qualifying Family Member of U-1 Recipient. Processing times shown are from receipt to date of waitlist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
