Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Approvals by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q2),,,,,,,,,
,,,, Employment Based Preference Category ,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total 
MOZAMBIQUE,1, -   ,1,2,1, -   , -   , -   ,5
AFGHANISTAN, -   , -   , -   ,1,2, -   ,1,1,5
SENEGAL, -   , -   ,2,1,2, -   , -   , -   ,5
MALAWI, -   ,1, -   ,2,1,1, -   , -   ,5
SLOVENIA, -   ,1, -   , -   ,2, -   ,1, -   ,4
KOSOVO,1, -   ,1, -   , -   , -   , -   ,2,4
BENIN, -   , -   ,1, -   ,2, -   , -   ,1,4
CZECHOSLOVAKIA, -   , -   ,3, -   ,1, -   , -   , -   ,4
"KOREA, NORTH", -   , -   , -   , -   , -   ,1, -   ,2,3
MADAGASCAR, -   , -   , -   ,1, -   ,1, -   ,1,3
TOGO, -   , -   , -   ,1,2, -   , -   , -   ,3
MALTA,1, -   ,1, -   ,1, -   , -   , -   ,3
FIJI,2, -   , -   , -   , -   , -   ,1, -   ,3
MAURITIUS, -   , -   ,1, -   ,1, -   ,1, -   ,3
MONTENEGRO, -   , -   , -   ,1, -   , -   ,1,1,3
BOTSWANA, -   , -   , -   , -   ,1,1,1, -   ,3
ESWATINI, -   , -   , -   , -   ,2, -   , -   , -   ,2
LESOTHO, -   , -   , -   , -   , -   ,1, -   ,1,2
YUGOSLAVIA, -   , -   , -   , -   ,1,1, -   , -   ,2
ERITREA, -   , -   , -   ,1,1, -   , -   , -   ,2
CABO VERDE, -   , -   , -   , -   , -   , -   ,2, -   ,2
GABON, -   , -   , -   , -   , -   , -   ,1,1,2
LIBERIA, -   , -   , -   , -   ,2, -   , -   , -   ,2
ESTONIA,1, -   , -   , -   ,1, -   , -   , -   ,2
BHUTAN, -   , -   , -   , -   , -   ,1,1, -   ,2
CUBA,1, -   , -   , -   ,1, -   , -   , -   ,2
"PALESTINE, STATE OF", -   , -   , -   , -   ,1,1, -   , -   ,2
LUXEMBOURG, -   , -   ,1, -   , -   , -   , -   , -   ,1
BURUNDI, -   , -   , -   , -   ,1, -   , -   , -   ,1
