,,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for All Countries",,,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,,
Fiscal Years 2012 to 2022 (Q1-Q2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,                Fiscal Year Received ,,,,,,,,,,
Petitions by Employment Preference,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11), 412 , 632 , 820 , 940 ," 1,126 "," 1,391 "," 1,268 ", 942 , 885 ," 1,166 ", 618 ," 10,200 ",,
Outstanding Professors or Researchers (E12), 766 , 948 , 985 ," 1,020 "," 1,071 "," 1,136 "," 1,230 ", 933 , 837 ," 1,125 ", 520 ," 10,571 ",,
Multinational Executives or Managers (E13)," 2,411 "," 3,053 "," 4,564 "," 4,165 "," 5,536 "," 5,976 "," 5,082 "," 5,014 "," 4,430 "," 2,484 ", 312 ," 43,027 ",,
,,,,,,,,,,,,,,
Second Preference (EB2),,,,,,,,,,,,,,
Total Petitions," 23,775 "," 22,830 "," 26,980 "," 34,115 "," 50,801 "," 43,662 "," 41,198 "," 45,189 "," 36,467 "," 39,015 "," 24,184 "," 388,216 ",,
Approved," 22,016 "," 21,004 "," 25,089 "," 31,641 "," 47,626 "," 41,260 "," 39,491 "," 43,844 "," 35,592 "," 35,386 "," 17,666 "," 360,615 ",,
Denied," 1,677 "," 1,764 "," 1,808 "," 2,357 "," 2,955 "," 2,334 "," 1,654 "," 1,296 ", 732 , 414 , 98 ," 17,089 ",,
"Pending, Other1", 82 , 62 , 83 , 117 , 220 , 68 , 53 , 49 , 143 ," 3,215 "," 6,420 "," 10,512 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2," 22,016 "," 21,004 "," 25,089 "," 31,641 "," 47,626 "," 41,260 "," 39,491 "," 43,844 "," 35,592 "," 35,386 "," 17,666 "," 360,615 ",,
,,,,,,,,,,,,,,
Third Preference (EB3),,,,,,,,,,,,,,
Total Petitions," 4,592 "," 3,878 "," 4,173 "," 6,842 "," 10,673 "," 9,218 "," 8,647 "," 11,836 "," 9,460 "," 49,307 "," 9,136 "," 127,762 ",,
Approved," 4,064 "," 3,411 "," 3,838 "," 6,252 "," 9,962 "," 8,700 "," 8,159 "," 11,355 "," 9,196 "," 41,478 "," 6,158 "," 112,573 ",,
Denied, 514 , 457 , 327 , 567 , 664 , 505 , 471 , 457 , 242 , 555 , 48 ," 4,807 ",,
"Pending, Other1", 14 , 10 , 8 , 23 , 47 , 13 , 17 , 24 , 22 ," 7,274 "," 2,930 "," 10,382 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Skilled Workers (E31)," 1,505 "," 1,418 "," 1,246 "," 3,055 "," 4,013 "," 4,269 "," 2,962 "," 3,974 "," 3,368 "," 4,457 "," 1,378 "," 31,645 ",,
Professionals with Baccalaureate Degrees (E32)," 2,551 "," 1,980 "," 2,585 "," 3,188 "," 5,923 "," 4,412 "," 5,172 "," 7,330 "," 5,806 "," 36,986 "," 4,773 "," 80,706 ",,
Needed Unskilled Workers (EW3), 8 , 13 , 7 , 9 , 26 , 19 , 25 , 51 , 22 , 35 , 7 , 222 ,,
,,,,,,,,,,,,,,
Other and Unknown3, -   , -   , -   , 1 , 1 , 1 , -   , -   , -   , -   , -   , 3 ,,
Approved, -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 ,,
Denied, -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , 2 ,,
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Table Key:,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.,,,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,,,
"5) In FY2012 USCIS added a reason for filing field to determine the difference for E31 and E32.
",,,,,,,,,,,,,,
"   For 2012 and prior, the report uses the class preference field to determine an E31 or E32 approval.",,,,,,,,,,,,,,
"   For the small number where the class preference field was not determinative as E31 or E32, the case was counted as an E31. ",,,,,,,,,,,,,,
"6) Top five countries are determined by total number of receipts in FY2021 and they are India, China, the Philippines, South Korea, and Brazil.",,,,,,,,,,,,,,
"7) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,,,
