report_family,fy,q,file_name,i140_fact_rows
fy_quarter_status,2025,4,i140_fy2025_q4_v1.xlsx,240
preference_country,2019,4,I140_by_class_country_FY09_19.pdf,633
preference_country,2020,2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf,1219
preference_country,2020,4,I140_rec_by_class_country_FY2020_Q3_Q4.pdf,1260
preference_country,2021,2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf,1386
preference_country,2021,4,I140_rec_by_class_country_FY2021_Q3_Q4.csv,1618
preference_country,2022,2,I140_rec_by_class_country_FY2022_Q1_Q2.csv,1782
preference_country,2022,4,I140_rec_by_class_country_FY2022_Q3_Q4.csv,1584
preference_country,2023,1,I140_rec_by_class_country_FY2023_Q1.csv,1782
preference_country,2023,2,I140_rec_by_class_country_FY2023_Q1_Q2.csv,297
preference_country,2023,2,i140_rec_by_class_country_fy2023_q1_q2_q3.csv,297
preference_country,2023,4,i140_rec_by_class_country_fy2023_q4.csv,297
preference_country,2024,1,i140_rec_by_class_country_fy2024_q1.xlsx,1782
preference_country,2024,2,i140_rec_by_class_country_fy2024_q2.xlsx,1782
preference_country,2024,3,i140_rec_by_class_country_fy2024_q3.xlsx,1782
preference_country,2024,4,i140_rec_by_class_country_fy2024_q4.xlsx,1782
preference_country,2025,1,i140_rec_by_class_country_fy2025_q1.xlsx,1944
preference_country,2025,2,i140_rec_by_class_country_fy2025_q2.xlsx,2016
preference_country,2025,3,i140_rec_by_class_country_fy2025_q3.xlsx,2016
preference_country,2025,4,i140_rec_by_class_country_fy2025_q4_v1.xlsx,2016
