fiscal_year,fiscal_quarter,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names
2022,2,41767.000,43782.000,3630.000,90647.000,1.04824382886010486748,0.08691071898867526995,0.92343710453049860795,0.07656289546950139205,2.1703019129935116,2,Quarterly_All_Forms_FY2022_Q2.csv
2022,3,42839.000,57438.000,3277.000,73761.000,1.3407876000840356,0.07649571651999346390,0.94602651733509017541,0.05397348266490982459,1.7218189033357455,3,Quarterly_All_Forms_FY2022_Q3.csv
2022,4,57746.000,83790.000,4325.000,55514.000,1.4510095937380944,0.07489696256017732830,0.95091641604721103104,0.04908358395278896896,0.96134797215391542271,4,Quarterly_All_Forms_FY2022_Q4.csv
2023,1,57506.000,61990.000,5650.000,48022.000,1.0779744722289848,0.09825061732688762912,0.91646954464813719692,0.08353045535186280308,0.83507807880916773902,1,Quarterly_All_Forms_FY2023_Q1.csv
2023,2,70661.000,67238.000,6483.000,47088.000,0.95155743620950736616,0.09174792318251935297,0.91206033558958777011,0.08793966441041222989,0.66639305982083468957,2,Quarterly_All_Forms_FY2023_Q2.csv
2023,3,77273.000,61698.000,5955.000,53006.000,0.79844188785216052179,0.07706443389023332859,0.91197729590705511951,0.08802270409294488049,0.68595757897325068264,3,quarterly_all_forms_fy2023_q3.csv
2023,4,76537.000,64953.000,6899.000,61294.000,0.84864836614970537126,0.09013940969727060115,0.90398318766353059066,0.09601681233646940934,0.80084142310255170702,4,quarterly_all_forms_fy2023_q4.csv
2024,1,54596.000,40033.522,3631.478,69978.000,0.73326840794197377097,0.06651545900798593304,0.91683320737432726440,0.08316679262567273560,1.2817422521796469,1,quarterly_all_forms_fy2024_q1.xlsx
2024,2,55567.000,42958.000,5267.000,78754.000,0.77308474454262421941,0.09478647398635881009,0.89078278900984966304,0.10921721099015033696,1.4172800403116958,2,quarterly_all_forms_fy2024_q2.xlsx
2024,3,59356.000,40142.000,5050.000,94241.000,0.67629220297863737449,0.08507985713323000202,0.88825455832890777129,0.11174544167109222871,1.5877249140777680,3,quarterly_all_forms_fy2024_q3.xlsx
2024,4,57144.000,38388.000,5951.000,108043.000,0.67177656446871062579,0.10414041719165616688,0.86578407271251043100,0.13421592728748956900,1.8907146857062859,4,quarterly_all_forms_fy2024_q4.xlsx
2025,1,57827.000,33105.000,4396.000,132938.000,0.57248344199076555934,0.07601985231812129282,0.88277645929441881550,0.11722354070558118450,2.2988915212616944,1,quarterly_all_forms_fy2025_q1.xlsx
2025,2,57947.000,36476.000,4926.000,150112.000,0.62947175867603154607,0.08500871486013080919,0.88102024056808849814,0.11897975943191150186,2.5905051167446115,2,quarterly_all_forms_fy2025_q2.xlsx
2025,3,62186.000,34794.000,6864.000,170699.000,0.55951500337696587656,0.11037854179397291995,0.83522972778337894282,0.16477027221662105718,2.7449747531598752,3,quarterly_all_forms_fy2025_q3.xlsx
2025,4,66692.000,48882.000,8710.000,180439.000,0.73295147843819348648,0.13060037185869369640,0.84876371718294207529,0.15123628281705792471,2.7055568883824147,4,quarterly_all_forms_fy2025_q4_v1.xlsx
