source_file_id,category_id,category_code,country_id,country_code,country_name,cohort_fiscal_year,cohort_quarter,snapshot_date,received,approved,denied,pending,approval_rate_received_basis,approval_rate_decided_basis,pending_share
16,4,E12,3,INDIA,India,2016,,2024-09-30,0,1078,0,0,,1.00000000000000000000,
21,7,E21,1,ALL,All Countries,2023,,2025-06-30,0,52370,0,0,,1.00000000000000000000,
54,10,E31,4,CHINA,China,2018,,2021-09-30,0,348,0,0,,1.00000000000000000000,
15,2,EB1,1,ALL,All Countries,2024,2,2024-09-30,11505,8226,1453,16789,0.71499348109517601043,0.84988118607294141957,1.45927857453281182095
1555,5,E13,5,BRAZIL,Brazil,2014,,2025-12-31,0,307,0,0,,1.00000000000000000000,
55,4,E12,71,SOUTH_KOREA,South Korea,2022,,2022-03-31,0,21,0,0,,1.00000000000000000000,
273,13,OTHER_UNKNOWN,6,PHILIPPINES,Philippines,2017,,2021-03-31,0,0,0,0,,,
12,6,EB2,30,PHILIPPINES_FY24,Philippines_FY24,2023,,2024-03-31,288,209,33,46,0.72569444444444444444,0.86363636363636363636,0.15972222222222222222
10,4,E12,4,CHINA,China,2020,,2023-12-31,0,1018,0,0,,1.00000000000000000000,
55,10,E31,1,ALL,All Countries,2022,,2022-03-31,0,7061,0,0,,1.00000000000000000000,
20,5,E13,4,CHINA,China,2015,,2025-03-31,0,734,0,0,,1.00000000000000000000,
1555,3,E11,5,BRAZIL,Brazil,2024,,2025-12-31,0,433,0,0,,1.00000000000000000000,
18,11,E32,5,BRAZIL,Brazil,2021,,2024-12-31,0,414,0,0,,1.00000000000000000000,
21,1,TOTAL,6,PHILIPPINES,Philippines,2022,,2025-06-30,10330,9949,324,57,0.96311713455953533398,0.96846101430935461890,0.00551790900290416263
58,6,EB2,78,MEXICO,Mexico,2019,,2022-09-30,687,664,23,0,0.96652110625909752547,0.96652110625909752547,0.00000000000000000000
18,9,EB3,3,INDIA,India,2018,,2024-12-31,8646,8066,562,18,0.93291695581771917650,0.93486323597589244321,0.00208188757807078418
55,13,OTHER_UNKNOWN,71,SOUTH_KOREA,South Korea,2015,,2022-03-31,0,0,0,0,,,
272,1,TOTAL,71,SOUTH_KOREA,South Korea,2014,,2020-09-30,3540,3081,357,102,0.87033898305084745763,0.89616055846422338569,0.02881355932203389831
18,3,E11,3,INDIA,India,2025,,2024-12-31,0,579,0,0,,1.00000000000000000000,
101,9,EB3,6,PHILIPPINES,Philippines,2023,,2022-12-31,2534,2380,34,120,0.93922651933701657459,0.98591549295774647887,0.04735595895816890292
20,13,OTHER_UNKNOWN,5,BRAZIL,Brazil,2025,,2025-03-31,0,0,0,0,,,
2,10,E31,6,PHILIPPINES,Philippines,2025,,2025-09-30,0,2579,0,0,,1.00000000000000000000,
56,6,EB2,1,ALL,All Countries,2022,1,2022-06-30,21617,17117,669,3446,0.79183050377018087616,0.96238614640728662993,0.15941157422399037794
1555,1,TOTAL,7,VIETNAM,Vietnam,2020,,2025-12-31,1013,938,63,12,0.92596248766041461007,0.93706293706293706294,0.01184600197433366239
12,2,EB1,30,PHILIPPINES_FY24,Philippines_FY24,2017,,2024-03-31,146,114,32,0,0.78082191780821917808,0.78082191780821917808,0.00000000000000000000
58,10,E31,4,CHINA,China,2019,,2022-09-30,0,433,0,0,,1.00000000000000000000,
20,12,EW3,38,NIGERIA,Nigeria,2023,,2025-03-31,0,182,0,0,,1.00000000000000000000,
10,6,EB2,4,CHINA,China,2016,,2023-12-31,7626,7343,208,75,0.96289011277209546289,0.97245397960535028473,0.00983477576711250983
18,13,OTHER_UNKNOWN,38,NIGERIA,Nigeria,2018,,2024-12-31,0,0,0,0,,,
12,4,E12,31,NIGERIA_FY24,Nigeria_FY24,2015,,2024-03-31,0,6,0,0,,1.00000000000000000000,
21,2,EB1,3,INDIA,India,2015,,2025-06-30,6750,6127,606,17,0.90770370370370370370,0.90999554433387791475,0.00251851851851851852
272,1,TOTAL,6,PHILIPPINES,Philippines,2017,,2020-09-30,5248,3903,1232,113,0.74371189024390243902,0.76007789678675754625,0.02153201219512195122
16,2,EB1,4,CHINA,China,2016,,2024-09-30,5333,4614,654,65,0.86517907369210575661,0.87585421412300683371,0.01218826176636039752
58,11,E32,3,INDIA,India,2018,,2022-09-30,0,5434,0,0,,1.00000000000000000000,
21,10,E31,1,ALL,All Countries,2020,,2025-06-30,0,14544,0,0,,1.00000000000000000000,
16,10,E31,6,PHILIPPINES,Philippines,2022,,2024-09-30,0,7248,0,0,,1.00000000000000000000,
57,7,E21,1,ALL,All Countries,2022,1,2022-09-30,16741,16325,226,19598,0.97515082731019652351,0.98634523593740559483,1.17065886147780897198
55,3,E11,71,SOUTH_KOREA,South Korea,2016,,2022-03-31,0,188,0,0,,1.00000000000000000000,
1555,5,E13,1,ALL,All Countries,2026,,2025-12-31,0,719,0,0,,1.00000000000000000000,
102,3,E11,1,ALL,All Countries,2022,,2023-03-31,0,6650,0,0,,1.00000000000000000000,
1555,3,E11,3,INDIA,India,2014,,2025-12-31,0,822,0,0,,1.00000000000000000000,
12,9,EB3,30,PHILIPPINES_FY24,Philippines_FY24,2020,,2024-03-31,6623,6291,267,65,0.94987165936886607278,0.95928636779505946935,0.00981428355730031708
101,13,OTHER_UNKNOWN,1,ALL,All Countries,2017,,2022-12-31,0,3,1,0,,0.75000000000000000000,
55,9,EB3,1,ALL,All Countries,2017,,2022-03-31,37076,31816,3279,1981,0.85812924803107131298,0.90656788716341359168,0.05343079080806991045
20,8,NIW,6,PHILIPPINES,Philippines,2019,,2025-03-31,0,43,0,0,,1.00000000000000000000,
20,9,EB3,4,CHINA,China,2017,,2025-03-31,4910,4533,223,154,0.92321792260692464358,0.95311185870479394449,0.03136456211812627291
55,6,EB2,71,SOUTH_KOREA,South Korea,2018,,2022-03-31,2394,2153,224,17,0.89933166248955722640,0.90576356752208666386,0.00710108604845446951
19,1,TOTAL,1,ALL,All Countries,2025,2,2025-03-31,57947,36476,4926,150112,0.62947175867603154607,0.88102024056808849814,2.5905051167446115
18,3,E11,3,INDIA,India,2019,,2024-12-31,0,944,0,0,,1.00000000000000000000,
273,6,EB2,1,ALL,All Countries,2019,,2021-03-31,78224,74105,3164,955,0.94734352628349355696,0.95905214251510955234,0.01220852935160564533
263,3,E11,7,VIETNAM,Vietnam,2023,1,2022-12-31,4,0,0,0,0.00000000000000000000,,0.00000000000000000000
20,7,E21,3,INDIA,India,2016,,2025-03-31,0,46822,0,0,,1.00000000000000000000,
14,5,E13,37,CHINA_FY24,China_FY24,2014,,2024-06-30,0,632,0,0,,1.00000000000000000000,
1555,13,OTHER_UNKNOWN,5,BRAZIL,Brazil,2023,,2025-12-31,0,0,0,0,,,
265,8,NIW,3,INDIA,India,2023,2,2023-03-31,409,0,0,0,0.00000000000000000000,,0.00000000000000000000
21,3,E11,4,CHINA,China,2015,,2025-06-30,0,2088,0,0,,1.00000000000000000000,
55,6,EB2,6,PHILIPPINES,Philippines,2014,,2022-03-31,1404,1178,211,15,0.83903133903133903134,0.84809215262778977682,0.01068376068376068376
18,5,E13,6,PHILIPPINES,Philippines,2015,,2024-12-31,0,65,0,0,,1.00000000000000000000,
14,12,EW3,32,INDIA_FY24,India_FY24,2019,,2024-06-30,0,51,0,0,,1.00000000000000000000,
279,7,E21,1,ALL,All Countries,2013,,2023-03-31,0,34041,0,0,,1.00000000000000000000,
1555,3,E11,7,VIETNAM,Vietnam,2026,,2025-12-31,0,3,0,0,,1.00000000000000000000,
14,3,E11,35,ALL_COUNTRIES_FY24,All_Countries_FY24,2022,,2024-06-30,0,7338,0,0,,1.00000000000000000000,
15,1,TOTAL,1,ALL,All Countries,2024,3,2024-09-30,54487,39608,4851,96997,0.72692568869638629398,0.89088823410333115905,1.7801860994365628
