fiscal_year,snapshot_type,is_actual,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_family,source_report_fiscal_year,source_report_quarter,source_file_names,decided,approval_decided,denial_decided,approval_received,denial_received
2016,historic,f,EB1,First Preference,28727,25070,3446,211,0.8726981585268214,0.1199568350332439,0.8791555617898723,0.1208444382101276,0.0073450064399345,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,28516,0.8791555617898723,0.12084443821012765,0.8726981585268214,0.11995683503324399
2016,historic,f,EB2,Second Preference,82528,77469,4763,296,0.9386995928654516,0.0577137456378441,0.9420785095826442,0.0579214904173557,0.0035866614967041,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,82232,0.9420785095826443,0.057921490417355774,0.9386995928654517,0.05771374563784413
2016,historic,f,TOTAL,Total,147596,134135,11567,1894,0.9087983414184666,0.0783693325022358,0.920611933947372,0.0793880660526279,0.0128323260792975,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,145702,0.9206119339473721,0.07938806605262796,0.9087983414184666,0.07836933250223584
2017,historic,f,EB1,First Preference,32066,27118,4763,185,0.8456932576560843,0.1485373916297636,0.8506006712461966,0.1493993287538032,0.005769350714152,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,31881,0.8506006712461968,0.1493993287538032,0.8456932576560843,0.14853739162976362
2017,historic,f,EB2,Second Preference,70239,65792,4223,224,0.936687595210638,0.060123293327069,0.9396843533528528,0.060315646647147,0.003189111462293,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,70015,0.9396843533528529,0.06031564664714704,0.9366875952106379,0.060123293327069005
2017,historic,f,TOTAL,Total,139379,124826,12984,1569,0.8955868531127357,0.0931560708571592,0.9057833248675712,0.0942166751324287,0.0112570760301049,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,137810,0.9057833248675713,0.0942166751324287,0.8955868531127358,0.09315607085715925
2018,historic,f,EB1,First Preference,28478,23101,5262,115,0.8111875833977105,0.1847742116721679,0.8144766068469484,0.1855233931530515,0.0040382049301214,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,28363,0.8144766068469484,0.18552339315305152,0.8111875833977105,0.18477421167216798
2018,historic,f,EB2,Second Preference,69987,65792,3991,204,0.9400602969122837,0.0570248760484089,0.94280842038892,0.05719157961108,0.0029148270393072,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,69783,0.94280842038892,0.05719157961108006,0.9400602969122837,0.05702487604840899
2018,historic,f,TOTAL,Total,137507,123529,13332,646,0.8983469932439803,0.0969550641058273,0.9025872966002002,0.0974127033997997,0.0046979426501923,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,136861,0.9025872966002002,0.0974127033997998,0.8983469932439803,0.09695506410582734
2019,historic,f,EB1,First Preference,24129,19310,4755,64,0.8002818185585809,0.1970657714783041,0.8024101392063162,0.1975898607936837,0.0026524099631149,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,24065,0.8024101392063162,0.19758986079368376,0.8002818185585809,0.19706577147830412
2019,historic,f,EB2,Second Preference,78232,73339,4600,293,0.9374552612741588,0.0587994682482871,0.940979483955401,0.0590205160445989,0.0037452704775539,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,77939,0.940979483955401,0.05902051604459898,0.9374552612741589,0.05879946824828715
2019,historic,f,TOTAL,Total,148415,134170,13618,627,0.9040191355321228,0.0917562241013374,0.907854494275584,0.092145505724416,0.0042246403665397,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,147788,0.907854494275584,0.09214550572441606,0.9040191355321228,0.09175622410133746
2020,historic,f,EB1,First Preference,21376,17421,3888,67,0.8149794161676646,0.1818862275449101,0.8175418837111079,0.182458116288892,0.0031343562874251,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,21309,0.817541883711108,0.18245811628889202,0.8149794161676647,0.18188622754491018
2020,historic,f,EB2,Second Preference,67605,63389,3920,296,0.9376377486872272,0.0579838769321795,0.9417611314980165,0.0582388685019833,0.0043783743805931,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,67309,0.9417611314980167,0.05823886850198339,0.9376377486872273,0.05798387693217957
