fiscal_year,fiscal_quarter,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names,period,period_label,decided,approval_decided,denial_decided,approval_received,denial_received
2022,3,E11,Aliens with Extraordinary Ability,2595,1493,433,6137,0.5753371868978805,0.1668593448940269,0.7751817237798546,0.2248182762201453,2.364932562620424,4,I140_FY22_Q4_RADP.csv,2022Q3,2022 Q3,1926,0.7751817237798546,0.22481827622014539,0.5753371868978805,0.16685934489402698
2022,3,EB1,First Preference,6440,4529,536,17861,0.7032608695652173,0.0832298136645962,0.8941757156959526,0.1058242843040473,2.773447204968944,4,I140_FY22_Q4_RADP.csv,2022Q3,2022 Q3,5065,0.8941757156959527,0.10582428430404739,0.7032608695652174,0.08322981366459627
2022,3,EB2,Second Preference,21000,17649,167,34204,0.8404285714285714,0.0079523809523809,0.9906264032330488,0.009373596766951,1.6287619047619049,4,I140_FY22_Q4_RADP.csv,2022Q3,2022 Q3,17816,0.990626403233049,0.009373596766951054,0.8404285714285714,0.007952380952380952
2022,3,NIW,National Interest Waiver,5328,2395,50,20318,0.449512012012012,0.0093843843843843,0.9795501022494888,0.0204498977505112,3.8134384384384385,4,I140_FY22_Q4_RADP.csv,2022Q3,2022 Q3,2445,0.9795501022494888,0.02044989775051125,0.449512012012012,0.009384384384384385
2022,3,TOTAL,Total,43848,37467,932,80185,0.8544745484400657,0.0212552453931764,0.9757285345972552,0.0242714654027448,1.828703703703704,4,I140_FY22_Q4_RADP.csv,2022Q3,2022 Q3,38399,0.9757285345972552,0.024271465402744864,0.8544745484400657,0.021255245393176428
2022,4,E11,Aliens with Extraordinary Ability,3055,1355,231,6281,0.4435351882160392,0.0756137479541734,0.8543505674653215,0.1456494325346784,2.055973813420622,4,I140_FY22_Q4_RADP.csv,2022Q4,2022 Q4,1586,0.8543505674653216,0.14564943253467844,0.44353518821603927,0.07561374795417349
2022,4,EB1,First Preference,7227,4168,278,13902,0.5767261657672615,0.0384668603846686,0.9374718848403057,0.0625281151596941,1.9236197592361977,4,I140_FY22_Q4_RADP.csv,2022Q4,2022 Q4,4446,0.9374718848403059,0.0625281151596941,0.5767261657672617,0.0384668603846686
2022,4,EB2,Second Preference,20084,13120,59,24967,0.6532563234415455,0.0029376618203545,0.995523180817968,0.004476819182032,1.2431288587930691,4,I140_FY22_Q4_RADP.csv,2022Q4,2022 Q4,13179,0.995523180817968,0.0044768191820320205,0.6532563234415455,0.002937661820354511
2022,4,NIW,National Interest Waiver,6917,873,5,18599,0.1262107850224085,0.0007228567297961,0.9943052391799544,0.0056947608200455,2.688882463495735,4,I140_FY22_Q4_RADP.csv,2022Q4,2022 Q4,878,0.9943052391799544,0.0056947608200455585,0.12621078502240857,0.0007228567297961544
2022,4,TOTAL,Total,37949,26659,481,54529,0.7024954544256765,0.012674905794619,0.982277081798084,0.0177229182019159,1.4369021581596353,4,I140_FY22_Q4_RADP.csv,2022Q4,2022 Q4,27140,0.982277081798084,0.01772291820191599,0.7024954544256765,0.012674905794619095
2023,1,E11,Aliens with Extraordinary Ability,3463,2367,823,6382,0.6835114062951197,0.2376552122437193,0.7420062695924764,0.2579937304075235,1.8429107710077968,4,i140_fy23_q4_radp.csv,2023Q1,2023 Q1,3190,0.7420062695924765,0.2579937304075235,0.6835114062951199,0.23765521224371933
2023,1,EB1,First Preference,9090,7844,1232,13808,0.8629262926292629,0.1355335533553355,0.8642573821066549,0.135742617893345,1.519031903190319,4,i140_fy23_q4_radp.csv,2023Q1,2023 Q1,9076,0.8642573821066549,0.13574261789334507,0.8629262926292629,0.13553355335533554
2023,1,EB2,Second Preference,19770,20616,1890,23040,1.0427921092564492,0.0955993930197268,0.9160223940282592,0.0839776059717408,1.165402124430956,4,i140_fy23_q4_radp.csv,2023Q1,2023 Q1,22506,0.9160223940282591,0.08397760597174087,1.0427921092564492,0.09559939301972686
